# MJD orderslope
# subtract (m - 84) * orderslope from each order at MJD
58621.772739 -0.181449
58623.470310 -0.346884
58624.330867 -0.096036
58624.480997 -0.730002
58624.484846 -0.730672
58624.488677 -0.731404
58624.492492 -0.730810
58624.496292 -0.730352
58624.507321 -0.724175
58624.521316 -0.719070
58624.524753 -0.718598
58624.528204 -0.717469
58624.531668 -0.718881
58624.535142 -0.717521
58624.538626 -0.714888
58624.542651 -0.712882
58624.546655 -0.709481
58624.550641 -0.701517
58624.558614 -0.706257
58624.566588 -0.702089
58624.570562 -0.706672
58624.592927 -0.693801
58624.603494 -0.691400
58624.610480 -0.692934
58624.614031 -0.690535
58624.620825 -0.688857
58624.631782 -0.679003
58624.639200 -0.669883
58624.642840 -0.663240
58624.646480 -0.658103
58624.681919 -0.657815
58624.685566 -0.651581
58624.689212 -0.647253
58624.692857 -0.643636
58624.696502 -0.640939
58624.703791 -0.635725
58624.707435 -0.633238
58624.718618 -0.629021
58624.730308 -0.622505
58624.738468 -0.617371
58624.742599 -0.614767
58624.755254 -0.604869
58625.084962 -0.576513
58625.354574 -0.065324
58625.361929 -0.071157
58625.393558 -0.127629
58625.397274 -0.129855
58625.400984 -0.130973
58625.407156 -0.128687
