# m MJD offset
# Subtract offset as function of MJD in each order m. Missing m means no calibration available
67 58621.762840 12.725382
67 58621.812451 18.115370
67 58623.388002 18.381283
67 58623.502453 22.290572
67 58624.259335 13.754241
67 58624.425527 18.409684
67 58624.432665 17.616988
67 58624.457931 17.630968
67 58624.476541 17.915949
67 58624.486478 18.784091
67 58624.504129 19.021443
67 58624.521787 19.571522
67 58624.527164 19.513179
67 58624.537193 19.293023
67 58624.549468 18.680944
67 58624.555082 18.291656
67 58624.561384 18.100065
67 58624.615423 18.241771
67 58624.628078 18.540644
67 58624.637619 18.756158
67 58624.642868 18.671301
67 58624.690813 17.925233
67 58624.734037 17.535145
67 58624.738520 17.584835
67 58624.761806 18.287813
67 58624.775799 18.737958
67 58624.824900 24.343395
67 58625.084962 18.146830
67 58625.272968 -6.084521
67 58625.342313 -0.521873
67 58625.349196 1.066790
67 58625.351330 1.204403
67 58625.354282 1.449189
67 58625.357075 1.888667
67 58625.360175 1.728384
67 58625.362833 2.095382
67 58625.372524 2.264391
67 58625.384935 1.055561
67 58625.391612 0.844406
67 58625.401634 0.065030
67 58625.429072 -0.441269
67 58625.438671 0.001314
67 58625.449574 0.693237
67 58625.476787 1.721469
67 58625.483379 1.908884
67 58625.492370 1.354932
67 58625.521138 0.008266
67 58625.533958 -0.529185
67 58625.540521 -0.649974
67 58625.594065 -1.579675
67 58625.627872 1.825420
67 58625.692643 -1.355438
67 58625.698604 -1.403167
67 58625.703512 -1.396123
67 58625.756733 -4.582456
67 58625.770708 -3.477259
67 58625.784531 -2.657330
67 58625.789829 -2.172301
67 58625.804770 -0.216553
67 58625.810067 0.234836
67 58625.821606 1.591083
67 58625.829882 2.834811
67 58626.272209 -4.112911
67 58626.387424 3.065390
67 58626.392001 2.945921
67 58626.396125 2.702006
67 58626.403533 2.483507
67 58626.417253 2.173672
67 58626.420850 2.120113
67 58626.425322 1.977308
67 58626.468115 2.043766
67 58626.478634 1.930986
67 58626.498841 2.068010
67 58626.502034 2.068928
67 58626.510949 2.143252
67 58626.515206 2.223289
67 58626.524457 2.190271
67 58626.540572 1.787887
67 58626.660558 -0.514508
67 58626.671908 0.023032
67 58626.693943 0.193124
67 58626.701854 0.267815
67 58626.708633 0.473483
67 58626.718045 0.452264
67 58626.778655 2.536117
67 58626.786285 1.839030
67 58626.803326 1.384336
67 58626.811817 0.639756
67 58627.280342 -0.698716
67 58627.380693 2.746062
67 58627.388487 2.044286
67 58627.400759 1.691196
67 58627.410925 0.979605
67 58627.462193 0.817017
67 58627.466238 0.838896
67 58627.470771 0.733500
67 58627.513419 -0.185595
67 58627.552960 0.383094
67 58627.563600 0.770627
67 58627.572186 1.127587
67 58627.615454 0.596191
67 58627.620239 0.359670
67 58627.625310 0.019908
67 58627.718289 1.004229
67 58627.725423 0.262649
67 58627.730742 -0.148539
67 58627.786203 -0.892187
67 58627.836571 3.415244
67 58628.225647 2.658638
67 58628.336670 0.421783
67 58628.388371 1.260124
67 58628.398129 1.357423
67 58628.421698 1.043336
67 58628.428866 0.974028
67 58628.437194 1.267459
67 58628.466515 2.032225
67 58628.475354 2.518189
67 58628.531157 -0.821357
67 58628.575299 -2.668474
67 58628.619949 -0.632515
67 58628.650781 -0.363796
67 58628.688864 3.382437
67 58628.726658 1.995571
67 58628.735146 1.073330
67 58628.744828 0.056563
67 58628.786351 0.201221
67 58629.305301 -7.552814
67 58629.354852 -2.225426
67 58629.361923 -1.311982
67 58629.368300 -0.006339
67 58629.378555 1.396829
